CODE,Context for translation,EN,FR,PT,JP,ES,GE,IT,TH
op_menu_music,Label for toggling menu music,Menu Music,Musique du menu,Música do menu,メニューミュージック,Música del menú,Menü Musik,Musica del menu,เพลงเมนู
rp_browser_info_challenge_stage,Label for displaying the stage of the challenge mode difficulty,Stage,Stage,Fase,ステージ,Fase,Stufe,Fase,ด่าน
op_openSaveDir,Button to open the save directory of Panel Attack,Open Save Directory,Ouvrir le dossier des sauvegardes,Abrir Diretório de Salvamento,セーブディレクトリを開く,Abrir directorio de archivos del juego,Speicherort öffnen,Apri cartella di salvataggio,เปิดไดเรกทอรีเซฟ
puzzle_set_name_classic,name of the classic puzzle set in puzzle mode,Classic,Classique,Clássico,クラシック,Clásico,Klassisch,Classico,คลาสสิก
puzzle_set_name_mission,name of the mission puzzle set in puzzle mode,Missions,Missions,Missões,ミッション,Misiones,Missionen,Missioni,ภารกิจ
puzzle_training,label for the training button in puzzle mode,Training,Entraînement,Treinamento,トレーニング,Entrenamiento,Training,Allenamento,ฝึกซ้อม
puzzle_set_description_classic,Description of the classic category in the puzzle mode,Figure out how to clear all panels in the given number of moves.,Trouvez comment supprimer tous les blocs en un nombre de coups limité.,Descubra como limpar todos os painéis no número de movimentos indicado.,指定された手数で全パネルを消す方法を考えよう。,Averigua cómo eliminar todos los paneles en el número de movimientos indicado.,"Finde heraus, wie du alle Panels in der vorgegebenen Anzahl Züge räumen kannst.",Scopri come eliminare tutti i pannelli nel numero di mosse indicato.,หาวิธีเคลียร์แผงทั้งหมดภายในจำนวนการเคลื่อนย้ายที่กำหนด
puzzle_set_description_mission,Description of the mission category in the puzzle mode,Learn the game and improve by solving missions with different challenges.,Apprenez le jeu et progressez en résolvant des missions aux défis variés.,Aprenda o jogo e melhore resolvendo missões com desafios variados.,さまざまな課題のミッションを解いてゲームの腕を磨こう。,Aprende el juego y mejora resolviendo misiones con distintos retos.,"Lerne das Spiel und verbessere dich, indem du Missionen mit unterschiedlichen Herausforderungen meisterst.",Impara il gioco e migliora risolvendo missioni con sfide diverse.,เรียนรู้เกมและพัฒนาฝีมือด้วยการแก้ภารกิจที่มีความท้าทายหลากหลาย
puzzle_set_name_classic_set_1,Classic Set 1,Classic Set 1,Set Classique 1,Conjunto Clássico 1,クラシックセット1,Conjunto Clásico 1,Klassik-Set 1,Set Classico 1,ชุดคลาสสิก 1
puzzle_set_name_classic_set_2,Classic Set 2,Classic Set 2,Set Classique 2,Conjunto Clássico 2,クラシックセット2,Conjunto Clásico 2,Klassik-Set 2,Set Classico 2,ชุดคลาสสิก 2
puzzle_set_name_classic_set_3,Classic Set 3,Classic Set 3,Set Classique 3,Conjunto Clássico 3,クラシックセット3,Conjunto Clásico 3,Klassik-Set 3,Set Classico 3,ชุดคลาสสิก 3
puzzle_set_name_classic_set_4,Classic Set 4,Classic Set 4,Set Classique 4,Conjunto Clássico 4,クラシックセット4,Conjunto Clásico 4,Klassik-Set 4,Set Classico 4,ชุดคลาสสิก 4
puzzle_set_name_classic_set_5,Classic Set 5,Classic Set 5,Set Classique 5,Conjunto Clássico 5,クラシックセット5,Conjunto Clásico 5,Klassik-Set 5,Set Classico 5,ชุดคลาสสิก 5
puzzle_set_name_classic_set_6,Classic Set 6,Classic Set 6,Set Classique 6,Conjunto Clássico 6,クラシックセット6,Conjunto Clásico 6,Klassik-Set 6,Set Classico 6,ชุดคลาสสิก 6
puzzle_set_description_classic_set_1,,Find the correct moves to clear all the panels,Trouvez les bons déplacements pour supprimer tous les blocs,Encontre os movimentos certos para limpar todos os painéis,全パネルを消す正しい手順を見つけましょう,Encuentra los movimientos correctos para eliminar todos los paneles,Finde die richtigen Züge um alle Panels aufzulösen,Trova le mosse corrette per eliminare tutti i pannelli,ค้นหาการเคลื่อนที่ที่ถูกต้องเพื่อลบแผงทั้งหมด
puzzle_set_description_classic_set_2,,This set adds some difficulty, carefully plan the order of the panel clears,Cet ensemble ajoute de la difficulté ; planifiez soigneusement l’ordre des suppressions,Este conjunto acrescenta alguma dificuldade; planeje cuidadosamente a ordem das eliminações,Este conjunto añade cierta dificultad; planifica cuidadosamente el orden de las eliminaciones,Dieses Set erhöht den Schwierigkeitsgrad ; plane die Reihenfolge der Züge sorgfältig,Dieses Set erhöht den Schwierigkeitsgrad ; plane die Reihenfolge der Räumungen sorgfältig,Questo set aggiunge difficoltà; pianifica con cura l’ordine delle eliminazioni,ชุดนี้เพิ่มความยาก จัดแผนลำดับการลบแผงอย่างรอบคอบ
puzzle_set_description_classic_set_3,,Consider how many panels of each color there are and what shape they need to pop in,Tenez compte du nombre de blocs de chaque couleur et de la forme à leur donner pour pouvoir les faire disparaître,Considere quantos painéis de cada cor existem e em que forma eles precisam estourar,各色のパネル数と消える形を考慮しましょう,Ten en cuenta cuántos paneles de cada color hay y en qué forma deben desaparecer,Beachte wie viele Panels jeder Farbe vorhanden sind und in welcher Form sie aufgelöst werden müssen,Considera quanti pannelli di ogni colore ci sono e in quale forma devono scoppiare,พิจารณาจำนวนแผงแต่ละสีและรูปแบบที่ต้องให้หายไป
puzzle_set_description_classic_set_4,,"Now we are starting to get hard, keep going and you can do it!","Cela devient difficile ; continuez, vous pouvez y arriver !","Agora está ficando difícil; continue, você consegue!",ここから本格的に難しくなりますが、頑張って進みましょう！,"Ahora empieza a ponerse difícil; ¡sigue adelante, tú puedes!","Jetzt wird es schwierig – mach weiter, du schaffst das!","Ora si inizia a fare sul serio: continua, ce la puoi fare!",เริ่มยากขึ้นแล้ว ทำต่อไป คุณทำได้!
puzzle_set_description_classic_set_5,,"A decent challenge, keep going!",Un défi de taille ; continuez !,Um bom desafio; continue!,手応えのあるチャレンジです。続けて！,"Un reto considerable, ¡sigue!",Eine anständige Herausforderung – weiter so!,"Una sfida di tutto rispetto, avanti così!",ความท้าทายพอควร สู้ต่อ!
puzzle_set_description_classic_set_6,,A hard challenge to find the correct moves in this final set,Un défi ardu : trouvez les bons déplacements dans cette dernière configuration,Um desafio difícil: encontre os movimentos certos neste conjunto final,最終セットでは正しい手順を見つけるのが難しい課題です,Un reto difícil: encuentra los movimientos correctos en este conjunto final,Eine schwere Aufgabe: Finde im letzten Set die richtigen Züge,Una sfida difficile: trova le mosse corrette in questo set finale,ความท้าทายยากในการหาท่าถูกต้องในชุดสุดท้ายนี้
puzzle_set_name_beginner,,Beginner,Débutant,Iniciante,ビギナー,Principiante,Anfänger,Principiante,ผู้เริ่มต้น
puzzles_set_description_beginner,,Learn the basics of combos and chains,Apprenez les bases des combos et des chaînes,Aprenda o básico de combos e correntes,コンボとチェインの基本を学びます,Aprende los fundamentos de combos y cadenas,Lerne die Grundlagen von Kombos und Ketten,Impara le basi di combo e catene,เรียนรู้พื้นฐานของคอมโบและเชน
puzzle_set_name_beginner_chains,,Chains,Chaînes,Correntes,チェイン,Cadenas,Ketten,Catene,เชน
puzzles_set_description_beginner_chains,,Learn how to make chains,Apprenez à réaliser des chaînes,Aprenda a fazer correntes,チェインの作り方を学びます,Aprende a crear cadenas,Lerne wie man Ketten erstellt,Impara a creare catene,เรียนรู้การสร้างเชน
puzzle_set_name_beginner_combos,,Combos,Combos,Combos,コンボ,Combos,Kombos,Combo,คอมโบ
puzzles_set_description_beginner_combos,,Learn how to make combos,Apprenez à réaliser des combos,Aprenda a fazer combos,コンボの作り方を学びます,Aprende a crear combos,Lerne wie man Kombos erstellt,Impara a creare combo,เรียนรู้การสร้างคอมโบ
puzzle_set_name_novice,,Novice,Novice,Novato,ノービス,Novato,Neuling,Novizio,มือใหม่
puzzles_set_description_novice,,Learn how to make more complicated chains and combos,Apprenez à créer des chaînes et combos plus complexes,Aprenda a criar correntes e combos mais complexos,より複雑なチェインとコンボの作り方を学びます,Aprende a crear cadenas y combos más complicados,Lerne kompliziertere Ketten und Kombos zu erstellen,Impara a creare catene e combo più complesse,เรียนรู้การทำเชนและคอมโบที่ซับซ้อนขึ้น
puzzle_set_name_novice_combos,,Combos,Combos,Combos,コンボ,Combos,Kombos,Combo,คอมโบ
puzzles_set_description_novice_combos,,Learn how to make more complicated combos,Apprenez à créer des combos plus complexes,Aprenda a criar combos mais complexos,より複雑なコンボの作り方を学びます,Aprende a crear combos más complicados,Lerne kompliziertere Kombos zu erstellen,Impara a creare combo più complesse,เรียนรู้การทำคอมโบที่ซับซ้อนขึ้น
puzzle_set_name_novice_chains,,Chains,Chaînes,Correntes,チェイン,Cadenas,Ketten,Catene,เชน
puzzles_set_description_novice_chains,,Learn how to make more complicated chains,Apprenez à créer des chaînes plus complexes,Aprenda a criar correntes mais complexas,より複雑なチェインの作り方を学びます,Aprende a crear cadenas más complicadas,Lerne kompliziertere Ketten zu erstellen,Impara a creare catene più complesse,เรียนรู้การทำเชนที่ซับซ้อนขึ้น
puzzle_set_name_novice_convert_horizontal_chains,,Convert Horizontal Chains,Convertir les chaînes horizontales,Converter Correntes Horizontais,水平チェイン変換,Convertir Cadenas Horizontales,Horizontale Ketten umwandeln,Converti Catene Orizzontali,แปลงเชนแนวนอน
puzzles_set_description_novice_convert_horizontal_chains,,Learn how to convert chains to be horizontal,Apprenez à convertir des chaînes en chaînes horizontales,Aprenda a converter correntes para o formato horizontal,チェインを水平に変換する方法を学びます,Aprende a convertir cadenas para que sean horizontales,Lerne Ketten in horizontale Ketten umzuwandeln,Impara a convertire le catene in orizzontale,เรียนรู้วิธีแปลงเชนให้เป็นแนวนอน
puzzle_set_name_novice_deeper_earthquake_chains,,Earthquake Chains,Chaînes séismes,Correntes Terremoto,アースクエイクチェイン,Cadenas Terremoto,Erdbeben-Ketten,Catene Terremoto,เชนแผ่นดินไหว
puzzles_set_description_novice_earthquake_chains,,Learn how to make horizontal chains that span multiple levels,Apprenez à créer des chaînes horizontales sur plusieurs niveaux,Aprenda a fazer correntes horizontais que abrangem vários níveis,複数段にわたる水平チェインの作り方を学びます,Aprende a crear cadenas horizontales que abarquen varios niveles,Lerne horizontale Ketten über mehrere Ebenen zu erstellen,Impara a creare catene orizzontali su più livelli,เรียนรู้การสร้างเชนแนวนอนหลายระดับ
puzzle_set_name_novice_earthquake_chains,,Earthquake Chains,Chaînes séismes,Correntes Terremoto,アースクエイクチェイン,Cadenas Terremoto,Erdbeben-Ketten,Catene Terremoto,เชนแผ่นดินไหว
puzzles_set_description_novice_deeper_earthquake_chains,,Deeper Earthquake Chains,Chaînes séismes profondes,Correntes Terremoto Avançadas,ディープアースクエイクチェイン,Cadenas Terremoto más Profundas,Tiefere Erdbeben-Ketten,Catene Terremoto Avanzate,เชนแผ่นดินไหวลึก
puzzle_set_name_novice_horizontal_chain_from_tower,,Horizontal Chain From Tower,Chaîne horizontale depuis une tour,Corrente Horizontal da Torre,タワーからの水平チェイン,Cadena Horizontal desde Torre,Horizontale Kette vom Turm,Catena Orizzontale dalla Torre,เชนแนวนอนจากหอ
puzzles_set_description_novice_horizontal_chain_from_tower,,Learn how to make chains when lots of panels are in a tower shape,Apprenez à faire des chaînes lorsque de nombreux blocs forment une tour,Aprenda a criar correntes quando muitos painéis formam uma torre,タワー状に積まれたパネルでチェインを作る方法を学びます,Aprende a encadenar cuando muchos paneles forman una torre,Lerne Ketten zu bilden wenn viele Panels turmartig gestapelt sind,Impara a creare catene quando molti pannelli formano una torre,เรียนรู้การทำเชนเมื่อมีแผงมากในรูปหอ
puzzle_set_name_novice_clear_puzzles_1,,Clear Puzzles 1,Puzzles à résoudre 1,Quebra-cabeças Limpos 1,クリアパズル 1,Puzles Limpios 1,Müll Puzzles 1,Puzzle da Pulire 1,ปริศนาเคลียร์ 1
puzzle_set_description_novice_clear_puzzles_1,,Learn basic techniques for clearing garbage,Apprenez les techniques de base pour éliminer les blocs déchets,Aprenda técnicas básicas para limpar lixo,ガーベッジを消すための基本技術を学びます,Aprende técnicas básicas para eliminar escombros,Lerne grundlegende Techniken zum Auflösen von Müll,Impara tecniche di base per ripulire i rifiuti,เรียนรู้เทคนิคพื้นฐานการเคลียร์ขยะ
puzzle_set_name_novice_clear_puzzles_2,,Clear Puzzles 2,Puzzles à résoudre 2,Quebra-cabeças Limpos 2,クリアパズル 2,Puzles Limpios 2,Müll Puzzles 2,Puzzle da Pulire 2,ปริศนาเคลียร์ 2
puzzle_set_description_novice_clear_puzzles_2,,Learn more techniques for clearing garbage,Apprenez d'autres techniques pour éliminer les blocs déchets,Aprenda mais técnicas para limpar lixo,ガーベッジを消す追加技術を学びます,Aprende más técnicas para eliminar escombros,Lerne weitere Techniken zum Auflösen von Müll,Impara altre tecniche per ripulire i rifiuti,เรียนรู้เทคนิคการเคลียร์ขยะเพิ่มเติม
puzzle_set_name_intermediate,,Intermediate,Intermédiaire,Intermediário,インターミディエイト,Intermedio,Fortgeschritten,Intermedio,ระดับกลาง
puzzles_set_description_intermediate,,"Learn how to do large chains, inserts, and other complicated techniques","Apprenez à réaliser de grandes chaînes, des insertions et d'autres techniques avancées","Aprenda a fazer correntes grandes, inserções e outras técnicas complicadas",大規模チェイン、インサートなどの高度な技術を学びます,"Aprende a realizar cadenas grandes, inserciones y otras técnicas complicadas","Lerne große Ketten, Einsätze, und andere komplexe Techniken","Impara a realizzare grandi catene, inserimenti e altre tecniche complesse",เรียนรู้เชนใหญ่ อินเสิร์ต และเทคนิคซับซ้อนอื่น ๆ
puzzle_set_name_intermediate_chains,,Chains,Chaînes,Correntes,チェイン,Cadenas,Ketten,Catene,เชน
puzzles_set_description_intermediate_chains,,Learn from larger chain examples,Étudiez des exemples de chaînes plus longues,Aprenda com exemplos de correntes maiores,より大きなチェインの例から学びます,Aprende de ejemplos de cadenas más grandes,Lerne anhand größerer Kettenbeispiele,Impara da esempi di catene più grandi,เรียนรู้จากตัวอย่างเชนที่ใหญ่ขึ้น
puzzle_set_name_intermediate_extended_horizontal_chains,,Extended Chains,Chaînes étendues,Correntes Estendidas,エクステンドチェイン,Cadenas Extendidas,Erweiterte Ketten,Catene Estese,เชนต่อขยาย
puzzles_set_description_intermediate_extended_horizontal_chains,,Learn from even larger chain examples,Étudiez des exemples de chaînes encore plus longues,Aprenda com exemplos de correntes ainda maiores,さらに大きなチェインの例から学びます,Aprende de ejemplos de cadenas aún más grandes,Lerne anhand noch größerer Kettenbeispiele,Impara da esempi di catene ancora più grandi,เรียนรู้จากตัวอย่างเชนที่ใหญ่กว่านี้
puzzle_set_name_intermediate_chains_from_huge_tower,,Chains From Huge Tower,Chaînes depuis une tour énorme,Correntes de uma Torre Gigante,巨大タワーからのチェイン,Cadenas desde Torre Gigante,Ketten von riesigem Turm,Catene da Torre Gigante,เชนจากหอขนาดใหญ่
puzzles_set_description_intermediate_chains_from_huge_tower,,Learn how to chain from an even bigger tower,Apprenez à créer des chaînes depuis une tour encore plus grande,Aprenda a encadear a partir de uma torre ainda maior,さらに大きなタワーでチェインする方法を学びます,Aprende a encadenar desde una torre aún más grande,Lerne von einem noch größeren Turm zu Ketten zu bilden,Impara a concatenare da una torre ancora più grande,เรียนรู้การทำเชนจากหอที่ใหญ่กว่า
puzzle_set_name_intermediate_horizontal_chain_from_side,,Horizontal Chain From the Side,Chaîne horizontale latérale,Corrente Horizontal Lateral,サイドからの水平チェイン,Cadena Horizontal desde el Lado,Horizontale Kette von der Seite,Catena Orizzontale Laterale,เชนแนวนอนจากด้านข้าง
puzzles_set_description_intermediate_horizontal_chain_from_side,,Learn how to add chains to the side,Apprenez à ajouter des chaînes sur le côté,Aprenda a adicionar correntes pelo lado,横からチェインを追加する方法を学びます,Aprende a añadir cadenas por el lado,Lerne seitlich Ketten hinzuzufügen,Impara ad aggiungere catene sul lato,เรียนรู้การเพิ่มเชนด้านข้าง
puzzle_set_name_intermediate_pre_setup_combo_chains,,Pre Setup Combo Chains,Chaînes combo préparées,Correntes de Combo Pré-Montadas,事前セットコンボチェイン,Cadenas con Combo Preconfiguradas,Vorbereitete Combo-Ketten,Catene Combo Preimpostate,เชนคอมโบเตรียมไว้ล่วงหน้า
puzzles_set_description_intermediate_pre_setup_combo_chains,,Start to add combos into your chains for high efficiency attack,Commencez à intégrer des combos dans vos chaînes pour des attaques plus efficaces,Comece a adicionar combos às suas correntes para um ataque altamente eficiente,高効率攻撃のためチェインにコンボを組み込み始めましょう,Comienza a añadir combos a tus cadenas para un ataque de alta eficiencia,Beginne Kombos in deine Ketten einzubauen um effizient anzugreifen,Inizia a inserire combo nelle catene per attacchi ad alta efficienza,เริ่มใส่คอมโบในเชนเพื่อการโจมตีที่มีประสิทธิภาพสูง
puzzle_set_name_intermediate_combo_chains,,Combo Chain,Chaîne combo,Corrente de Combo,コンボチェイン,Cadena con Combo,Kombo-Kette,Catena Combo,เชนคอมโบ
puzzles_set_description_intermediate_combo_chains,,Combo chains that require more setup,Chaînes combo demandant plus de préparation,Correntes de combo que exigem mais preparação,準備が多いコンボチェイン,Cadenas con combo que requieren más preparación,Kombo-Ketten die mehr Vorbereitung erfordern,Catene combo che richiedono più preparazione,เชนคอมโบที่ต้องเตรียมมากขึ้น
puzzle_set_name_intermediate_pre_setup_inserts,,Pre Setup Inserts,Insertions préparées,Inserções Pré-Montadas,事前セットインサート,Inserciones Preconfiguradas,Vorbereitete Einsätze,Inserti Preimpostati,อินเสิร์ตเตรียมไว้ล่วงหน้า
puzzle_set_description_intermediate_pre_setup_inserts,,Swap into the gap made by the match to perform an insert,Insérez-vous dans l’espace créé par l’alignement pour réaliser une insertion,Troque para o espaço criado pelo alinhamento para fazer uma inserção,マッチで空いた隙間に差し込んでインサートを行います,Cambia al hueco creado por el match para realizar una inserción,Tausche mit der durch das Match entstandenen Lücke um einen Einsatz durchzuführen,Sposta nel vuoto creato dall’abbinamento per eseguire un inserto,สลับเข้าไปในช่องว่างที่เกิดจากการจับคู่เพื่อทำอินเสิร์ต
puzzle_set_name_intermediate_change_side_inserts,,Change Side Inserts,Changer le côté des insertions,Inserções de Mudança Lateral,サイド変更インサート,Inserciones de Cambio Lateral,Seitliche Einsätze ändern,Inserti con Cambio Lato,อินเสิร์ตย้ายด้าน
puzzle_set_description_intermediate_change_side_inserts,,Move both horizontal panels to one side to make this insert possible,Déplacez les deux blocs horizontaux sur un seul côté pour rendre possible cette insertion,Mova ambos os painéis horizontais para um lado para permitir esta inserção,両方の水平パネルを片側に動かしてインサートを可能にします,Mueve ambos paneles horizontales a un lado para posibilitar esta inserción,Bewege beide horizontalen Panels auf eine Seite damit dieser Einsatz möglich wird,Sposta entrambi i pannelli orizzontali su un lato per consentire questo inserto,เลื่อนแผงแนวนอนทั้งสองไปด้านเดียวเพื่อทำอินเสิร์ตนี้
puzzle_set_name_intermediate_inserts,,Intermediate Inserts,Insertions intermédiaires,Inserções Intermediárias,中級インサート,Inserciones Intermedias,Fortgeschrittene Einsätze,Inserti Intermedi,อินเสิร์ตระดับกลาง
puzzle_set_description_intermediate_inserts,,More complicated insert patterns,Schémas d’insertion plus complexes,Padrões de inserção mais complexos,より複雑なインサートパターン,Patrones de inserción más complicados,Komplexere Einsatzmuster,Schemi di inserto più complessi,รูปแบบอินเสิร์ตที่ซับซ้อนขึ้น
puzzle_set_name_intermediate_combo_chain_inserts,,Combo Chain Inserts,Insertions de chaîne combo,Inserções em Corrente de Combo,コンボチェインインサート,Inserciones en Cadena con Combo,Kombo-Ketten-Einsätze,Inserti in Catena Combo,อินเสิร์ตเชนคอมโบ
puzzle_set_description_intermediate_combo_chain_inserts,,Use what you have learned from combo chains and inserts to put the two together,Combinez vos connaissances des chaînes combo et des insertions pour les combiner,Use o que aprendeu sobre correntes de combo e inserções para combiná-los,学んだコンボチェインとインサートを組み合わせましょう,Utiliza lo aprendido sobre cadenas combo e inserciones para combinarlos,Nutze dein Wissen über Kombo-Ketten und Einsätze um beides zu kombinieren,Usa ciò che hai imparato su catene combo e inserti per combinarli,ใช้สิ่งที่เรียนรู้จากเชนคอมโบและอินเสิร์ตมารวมกัน
puzzle_set_name_intermediate_removes,,Removes,Suppressions,Remoções,リムーブ,Retirada,Entfernungen,Rimozioni,การเอาออก
puzzle_set_description_intermediate_removes,,Take out the panel at the right time to perform a chain,Retirez le bloc au bon moment pour déclencher une chaîne,Remova o painel no momento certo para executar uma corrente,適切なタイミングでパネルを取り除きチェインを発動します,Retira el panel en el momento adecuado para realizar una cadena,Entferne das Feld zum richtigen Zeitpunkt um eine Kette auszulösen,Rimuovi il pannello al momento giusto per attivare una catena,เอาแผงออกในเวลาที่เหมาะสมเพื่อทำเชน
puzzle_set_name_intermediate_openers,,Openers,Ouvertures,Aberturas,オープナー,Aperturas,Eröffnungen,Aperture,ท่าเปิด
puzzle_set_description_intermediate_openers,,Practice making a big attack for these opening setups,Entraînez-vous à lancer une grosse attaque avec ces ouvertures,Pratique criar um grande ataque nesses setups de abertura,これらの開幕セットで大攻撃を練習します,Practica un gran ataque con estas configuraciones de apertura,Übe mit diesen Eröffnungs-Setups einen großen Angriff zu starten,Esercitati a sferrare un grande attacco con queste aperture,ฝึกการโจมตีใหญ่สำหรับการตั้งค่าช่วงเปิด
puzzle_set_name_intermediate_clear_puzzles_1,,Clear Puzzles 1,Puzzles à résoudre 1,Quebra-cabeças Limpos 1,クリアパズル 1,Puzles Limpios 1,Müll Puzzles 1,Puzzle da Pulire 1,ปริศนาเคลียร์ 1
puzzle_set_name_intermediate_clear_puzzles_2,,Clear Puzzles 2,Puzzles à résoudre 2,Quebra-cabeças Limpos 2,クリアパズル 2,Puzles Limpios 2,Müll Puzzles 2,Puzzle da Pulire 2,ปริศนาเคลียร์ 2
puzzle_set_description_intermediate_clear_puzzles_1,,Practice intermediate techniques for clearing garbage,Entraînez-vous aux techniques intermédiaires pour éliminer les blocs déchets,Pratique técnicas intermediárias para limpar lixo,中級のガーベッジ削除技術を練習します,Practica técnicas intermedias para eliminar escombros,Übe fortgeschrittene Techniken zum Auflösen von Müll,Pratica tecniche intermedie per ripulire i rifiuti,ฝึกเทคนิคระดับกลางการเคลียร์ขยะ
puzzle_set_description_intermediate_clear_puzzles_2,,Develop intermediate techniques for clearing garbage,Développez les techniques intermédiaires pour éliminer les blocs déchets,Desenvolva técnicas intermediárias para limpar lixo,中級のガーベッジ削除技術を発達させます,Desarrolla técnicas intermedias para eliminar escombros,Entwickle fortgeschrittene Techniken zum Auflösen von Müll,Sviluppa tecniche intermedie per ripulire i rifiuti,พัฒนาเทคนิคระดับกลางการเคลียร์ขยะ
puzzle_set_name_advanced,,Advanced,Avancé,Avançado,アドバンス,Avanzado,Experte,Avanzato,ขั้นสูง
puzzle_set_description_advanced,,"Take your technique to the extreme with Shoguns, Transitions, and Garbage solves","Poussez votre technique à l’extrême avec Shoguns, Transitions et résolutions de déchets","Leve sua técnica ao extremo com Shoguns, Transições e resolução de lixo",将軍、トランジション、ガーベッジ処理でテクニックを極めましょう,"Lleva tu técnica al extremo con Shoguns, Transiciones y eliminaciones de escombros","Bring deine Technik mit Shoguns, Ebenenübergängen und Müllauflösungen auf das höchste Niveau",Porta la tua tecnica all’estremo con Shogun Transizioni e pulizia dei rifiuti,ยกระดับเทคนิคด้วยโชกุน ทรานซิชัน และการเคลียร์ขยะ
puzzle_set_name_advanced_shoguns,,Shogun,Shogun,Shogun,将軍,Shogun,Shogun,Shogun,โชกุน
puzzle_set_description_advanced_shoguns,,Setup the panels so that after the clear the falling panels will make a chain,Arrangez les blocs pour qu’après la suppression ceux qui tombent forment une chaîne,"Configure os painéis para que, após a limpeza, os painéis que caem formem uma corrente",クリア後に落下するパネルでチェインができるよう配置します,"Configura los paneles para que, tras eliminar el escombro, los que caigan formen una cadena",Ordne die Panels so an dass nach der Müllauflösung die fallenden Panels eine Kette bilden,"Organizza i pannelli in modo che, dopo la pulizia, quelli cadenti creino una catena",จัดแผงให้หลังเคลียร์แล้วแผงที่ตกลงมาจะสร้างเชน
puzzle_set_name_advanced_transitions_1,,Transitions 1,Transitions 1,Transições 1,トランジション 1,Transiciones 1,Übergänge 1,Transizioni 1,ทรานซิชัน 1
puzzle_set_description_advanced_transitions_1,,Learn how to use panels on a second level to immediately have a clear ready when the panels fall,Apprenez à utiliser les panneaux du second niveau pour avoir une suppression prête immédiatement lorsque les blocs tombent,Aprenda a usar painéis no segundo nível para ter uma limpeza pronta quando eles caírem,二段目のパネルを使い、落下と同時に消せるようにする方法を学びます,Aprende a usar paneles en un segundo nivel para tener una eliminación lista cuando los paneles caigan,"Nutze Panels auf der nächsten Ebene, um direkt zur nächsten Müllauflösung überzugehen",Impara a usare pannelli su un secondo livello per avere subito una pulizia pronta quando cadono,เรียนรู้การใช้แผงชั้นสองเพื่อให้เคลียร์ได้ทันทีเมื่อแผงตก
puzzle_set_name_advanced_transitions_2,,Transitions 2,Transitions 2,Transições 2,トランジション 2,Transiciones 2,Übergänge 2,Transizioni 2,ทรานซิชัน 2
puzzle_set_description_advanced_transitions_2,,More practice with transitions,Plus d'entraînement sur les transitions,Mais prática com transições,トランジションのさらなる練習,Más práctica con transiciones,Mehr Übung mit Übergängen,Ulteriore pratica con le transizioni,ฝึกทรานซิชันเพิ่มเติม
puzzle_set_name_advanced_clear_puzzles_1,,Clear Puzzles 1,Puzzles à résoudre 1,Quebra-cabeças de Limpeza 1,クリアパズル 1,Puzzles de Limpieza 1,Müll Puzzles 1,Puzzle di Pulizia 1,พัซเซิลเคลียร์ 1
puzzle_set_description_advanced_clear_puzzles_1,,Begin building techniques for clearing garbage,Commencez à développer les techniques pour éliminer les blocs déchets,Comece a desenvolver técnicas para limpar lixo,ガーベッジを消すための基礎技術を身につけましょう,Comienza a desarrollar técnicas para eliminar escombros,Lerne erste Techniken zur Müllauflösung,Inizia a sviluppare tecniche per ripulire i rifiuti,เริ่มพัฒนาทักษะการเคลียร์ขยะ
puzzle_set_name_advanced_clear_puzzles_2,,Clear Puzzles 2,Puzzles à résoudre 2,Quebra-cabeças de Limpeza 2,クリアパズル 2,Puzzles de Limpieza 2,Müll Puzzles 2,Puzzle di Pulizia 2,พัซเซิลเคลียร์ 2
puzzle_set_description_advanced_clear_puzzles_2,,Continue building techniques for clearing garbage,Continuez à développer les techniques pour éliminer les blocs déchets,Continue desenvolvendo técnicas para limpar lixo,ガーベッジを消す技術を継続して構築します,Continúa desarrollando técnicas para eliminar escombros,Setze den Aufbau von Techniken zur Müllauflösung fort,Continua a sviluppare tecniche per ripulire i rifiuti,พัฒนาทักษะการเคลียร์ขยะต่อไป
puzzle_set_name_advanced_clear_puzzles_3,,Clear Puzzles 3,Puzzles à résoudre 3,Quebra-cabeças de Limpeza 3,クリアパズル 3,Puzzles de Limpieza 3,Müll Puzzles 3,Puzzle di Pulizia 3,พัซเซิลเคลียร์ 3
puzzle_set_description_advanced_clear_puzzles_3,,Moderate difficulty techniques for clearing garbage,Techniques de difficulté moyenne pour éliminer les blocs déchets,Técnicas de dificuldade moderada para limpar lixo,中級レベルのガーベッジ削除技術,Técnicas de dificultad moderada para eliminar escombros,Techniken mittlerer Schwierigkeit zur Müllauflösung,Tecniche di difficoltà moderata per ripulire i rifiuti,เทคนิคเคลียร์ขยะระดับกลาง
puzzle_set_name_advanced_clear_puzzles_4,,Clear Puzzles 4,Puzzles à résoudre 4,Quebra-cabeças de Limpeza 4,クリアパズル 4,Puzzles de Limpieza 4,Müll Puzzles 4,Puzzle di Pulizia 4,พัซเซิลเคลียร์ 4
puzzle_set_description_advanced_clear_puzzles_4,,Challenging techniques for clearing garbage,Techniques exigeantes pour éliminer les blocs déchets,Técnicas desafiadoras para limpar lixo,難易度の高いガーベッジ削除技術,Técnicas desafiantes para eliminar escombros,Herausfordernde Techniken zur Müllauflösung,Tecniche impegnative per ripulire i rifiuti,เทคนิคเคลียร์ขยะที่ท้าทาย
